id_films,names_films,types_film,rating_films,years_films,links_films
3722,Вирджиния Миннесота ,"драма, комедия",0,2018 ,https://baskino.org/films/15541-virdzhinija-minnesota.html
3723,Последний викинг ,"боевик, история, приключения",0,2018 ,https://baskino.org/films/15540-poslednij-viking.html
3724,Сводные сестры ,комедия,0,2018 ,https://baskino.org/films/15536-svodnye-sestry.html
3725,Истерия ,"триллер, ужасы",0,2018 ,https://baskino.org/films/15529-isterija.html
3726,Сумасшедшая свадьба ,комедия,0,2018 ,https://baskino.org/films/15528-sumasshedshaja-svadba.html
3727,Финансист. Игра на вылет ,"драма, криминал, триллер",0,2018 ,https://baskino.org/films/15527-finansist-igra-na-vylet.html
3728,Парк Ужаса ,ужасы,0,2018 ,https://baskino.org/films/15525-park-uzhasa.html
3729,Аксель герой ,"драма, комедия, мелодрама",0,2018 ,https://baskino.org/films/15524-aksel-geroj.html
3730,Молитва за проклятых ,вестерн,0,2018 ,https://baskino.org/films/15521-molitva-za-prokljatyh.html
3731,Операция «Шаровая молния» ,"боевик, драма, история, триллер",0,2018 ,https://baskino.org/films/15520-operacija-sharovaja-molnija.html
3732,Входящий ,"боевик, триллер, фантастика",0,2018 ,https://baskino.org/films/15516-vhodjaschij.html
3733,Разлом ,"боевик, драма, триллер",0,2018 ,https://baskino.org/films/15515-razlom.html
3734,Проклятие плачущей ,ужасы,0,2018 ,https://baskino.org/films/15500-prokljatie-plachuschej.html
3735,Похищение Караваджо ,драма,0,2018 ,https://baskino.org/films/15499-pohischenie-karavadzho.html
3736,Ангелы носят белое ,драма,0,2017 ,https://baskino.org/films/15490-angely-nosjat-beloe.html
3737,План побега 2 ,"боевик, детектив, криминал, триллер, фантастика",10,2018 ,https://baskino.org/films/15489-plan-pobega-2.html
3738,Рози ,"комедия, мелодрама, триллер",0,2018 ,https://baskino.org/films/15487-rozi.html
3739,Герой моего времени ,комедия,0,2018 ,https://baskino.org/films/15486-geroj-moego-vremeni.html
3740,Каджунская тайна ,"детектив, комедия, криминал, триллер, ужасы",0,2018 ,https://baskino.org/films/15485-kadzhunskaja-tajna.html
3741,Тёмный шабаш ,ужасы,0,2018 ,https://baskino.org/films/15481-temnyj-shabash.html
3742,Частная война ,"биография, военный, драма",60,2018 ,https://baskino.org/films/15479-chastnaja-vojna.html
3743,Сюрприз ,"детектив, триллер, ужасы",0,2018 ,https://baskino.org/films/15478-sjurpriz.html
3744,Море чудовищ: Глава четвертая ,ужасы,0,2018 ,https://baskino.org/films/15471-more-chudovisch-glava-chetvertaja.html
3745,Души ,"триллер, ужасы",0,2018 ,https://baskino.org/films/15465-dushi.html
3746,Сваты ,комедия,0,2018 ,https://baskino.org/films/15461-svaty.html
3747,Генезис ,фантастика,0,2018 ,https://baskino.org/films/15460-genezis.html
3748,Свинья ,"детектив, драма, комедия, криминал, ужасы",0,2018 ,https://baskino.org/films/15459-svinja.html
3749,Ржавчина ,драма,0,2018 ,https://baskino.org/films/15454-rzhavchina.html
3750,Над облаками ,комедия,0,2018 ,https://baskino.org/films/15453-nad-oblakami.html
3751,7 осколков во времени ,"детектив, триллер, фантастика",0,2018 ,https://baskino.org/films/15452-7-oskolkov-vo-vremeni.html
3752,Великолепная ,"комедия, мелодрама",10,2018 ,https://baskino.org/films/15451-velikolepnaja.html
3753,Ангел ,"биография, драма, триллер",0,2018 ,https://baskino.org/films/15449-angel.html
3754,Ожидание ,"детектив, драма",0,2018 ,https://baskino.org/films/15448-ozhidanie.html
3755,Тёмная зима ,ужасы,0,2018 ,https://baskino.org/films/15446-temnaja-zima.html
3756,Беги в этой гонке ,"драма, спорт",0,2018 ,https://baskino.org/films/15443-begi-v-jetoj-gonke.html
3757,Живущие среди нас ,"комедия, триллер, ужасы, фантастика, фэнтези",0,2018 ,https://baskino.org/films/15442-zhivuschie-sredi-nas.html
3758,Любовники на границе ,"драма, мелодрама",0,2018 ,https://baskino.org/films/15441-ljubovniki-na-granice.html
3759,Эмма Питерс ,комедия,0,2018 ,https://baskino.org/films/15440-jemma-piters.html
3760,Возвращенцы ,"драма, триллер, ужасы",0,2019 ,https://baskino.org/films/15379-vozvraschency.html
3761,Спасти бигмана ,драма,0,2019 ,https://baskino.org/films/15369-spasti-bigmana.html
3762,Свидание с мужем ,драма,0,2019 ,https://baskino.org/films/15367-svidanie-s-muzhem.html
3763,Демоническая страсть ,ужасы,0,2020 ,https://baskino.org/films/15365-demonicheskaja-strast.html
3764,Страх ,"драма, мелодрама",0,2020 ,https://baskino.org/films/15362-strah.html
3765,Невероятная ,"боевик, комедия, фантастика",0,2020 ,https://baskino.org/films/15361-neverojatnaja.html
3766,Люди-животные ,"драма, триллер, ужасы",0,2020 ,https://baskino.org/films/15360-ljudi-zhivotnye.html
3767,Две смерти Генри Бейкера ,"криминал, триллер",0,2020 ,https://baskino.org/films/15359-dve-smerti-genri-bejkera.html
3768,"Луна, 66 вопросов ",драма,0,2020 ,https://baskino.org/films/15356-luna-66-voprosov.html
