id_meals,meals_names,calories,proteins,fats,carbohydrates
337,"Копченые сардельки, из свинины и говядины, …",268.0,13.97,21.43,3.96
338,"Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока",313.0,13.28,27.61,1.92
339,Корейка копчено-запеченная (свинина),475.0,10.2,48.2,0.0
340,Корейка сырокопченая (свинина),469.0,10.5,47.4,0.0
341,"Куриные грудки, запеченные в духовке, обезжиренные, нарезка",79.0,16.79,0.39,2.17
342,"курица, Паштет, из печени, консерв.",201.0,13.45,13.1,6.55
343,"Ливанская болонья, говядина",172.0,19.03,10.44,0.44
344,Мясной хлеб ветчинный,256.0,12.9,21.8,1.9
345,Мясной хлеб говяжий,263.0,10.5,23.9,1.4
346,Мясной хлеб отдельный,246.0,12.0,21.0,2.1
347,Окорок тамбовский вареный,288.0,14.3,25.6,0.0
348,Охотничьи колбаски,463.0,25.3,40.0,0.3
349,Палочки из бекона и говядины,517.0,29.1,44.2,0.8
350,"Пастрома, из индейки",139.0,16.3,6.21,3.24
351,"Паштет, из ливерной колбасы",305.0,12.38,25.45,3.39
352,"Паштет, с ароматом трюфелей",327.0,11.2,28.5,6.3
353,"Пепперони (острое салями), свинина, говядина",504.0,19.25,46.28,1.18
354,"Рулет из индейки, белое и темное мясо",149.0,18.14,6.99,2.12
355,"Рулет из индейки, белое мясо",106.0,14.81,3.77,2.2
356,"Рулет из куриных грудок, запеченный в духовке",134.0,14.59,7.65,1.79
357,"Салями, воздушной варки, из говядины",261.0,12.6,22.2,1.9
358,"Салями, воздушной варки, из говядины и свинины",336.0,21.85,25.9,2.4
359,"Салями, воздушной варки, индюшатина",172.0,19.2,9.21,1.45
360,"Салями, из свинины, и говядины, меньше натрия",396.0,15.01,30.5,15.18
361,"Салями, итальянская, свинина",425.0,21.7,37.0,1.2
